"collected_for_day","entity_id","new_entity_accounts_count"
"2020-09-16","aurora",1
"2020-09-25","mintbase",1
"2020-10-01","near-foundation",1
"2020-11-07","berry-club",75
"2020-11-08","berry-club",25
"2020-11-09","berry-club",52
"2020-11-10","berry-club",108
"2020-11-11","berry-club",20
"2020-11-12","berry-club",16
"2020-11-13","berry-club",5
"2020-11-14","berry-club",13
"2020-11-15","berry-club",8
"2020-11-16","berry-club",12
"2020-11-17","berry-club",8
"2020-11-18","berry-club",3
"2020-11-19","berry-club",1
"2020-11-20","berry-club",2
"2020-11-21","berry-club",32
"2020-11-22","berry-club",17
"2020-11-23","berry-club",5
"2020-11-24","berry-club",3
"2020-11-25","berry-club",6
"2020-11-26","berry-club",9
"2020-11-27","berry-club",7
"2020-11-28","berry-club",21
"2020-11-29","berry-club",6
"2020-11-30","paras",2
"2020-11-30","berry-club",14
"2020-12-01","berry-club",8
"2020-12-02","berry-club",10
"2020-12-03","berry-club",4
"2020-12-04","berry-club",3
"2020-12-05","paras",1
"2020-12-05","berry-club",10
"2020-12-06","paras",1
"2020-12-06","berry-club",5
"2020-12-07","paras",16
"2020-12-07","berry-club",5
"2020-12-08","paras",13
"2020-12-08","berry-club",8
"2020-12-09","paras",14
"2020-12-09","berry-club",10
"2020-12-10","paras",10
"2020-12-10","berry-club",2
"2020-12-11","paras",7
"2020-12-11","berry-club",2
"2020-12-12","paras",2
"2020-12-12","berry-club",7
"2020-12-13","paras",7
"2020-12-13","berry-club",6
"2020-12-14","paras",9
"2020-12-14","berry-club",4
"2020-12-15","paras",10
"2020-12-15","berry-club",3
"2020-12-16","paras",1
"2020-12-16","berry-club",3
"2020-12-17","paras",2
"2020-12-18","paras",1
"2020-12-18","berry-club",4
"2020-12-19","paras",2
"2020-12-19","berry-club",6
"2020-12-20","paras",4
"2020-12-20","berry-club",1
"2020-12-21","paras",8
"2020-12-21","berry-club",4
"2020-12-22","paras",7
"2020-12-22","berry-club",7
"2020-12-23","paras",6
"2020-12-23","berry-club",6
"2020-12-24","paras",3
"2020-12-24","berry-club",8
"2020-12-25","paras",1
"2020-12-25","berry-club",1
"2020-12-26","berry-club",25
"2020-12-27","paras",13
"2020-12-27","berry-club",6
"2020-12-28","paras",5
"2020-12-28","berry-club",6
"2020-12-29","paras",2
"2020-12-29","berry-club",2
"2020-12-30","paras",2
"2020-12-30","berry-club",4
"2020-12-31","paras",4
"2020-12-31","berry-club",22
"2021-01-01","paras",1
"2021-01-01","berry-club",2
"2021-01-02","paras",4
"2021-01-02","berry-club",4
"2021-01-03","paras",3
"2021-01-03","berry-club",3
"2021-01-04","paras",4
"2021-01-04","berry-club",2
"2021-01-05","paras",1
"2021-01-05","berry-club",4
"2021-01-06","paras",10
"2021-01-06","berry-club",4
"2021-01-07","paras",9
"2021-01-07","berry-club",3
"2021-01-08","paras",13
"2021-01-08","berry-club",9
"2021-01-09","paras",15
"2021-01-09","berry-club",4
"2021-01-10","paras",14
"2021-01-10","berry-club",13
"2021-01-11","paras",7
"2021-01-11","berry-club",4
"2021-01-11","sputnik-dao",1
"2021-01-12","paras",7
"2021-01-12","berry-club",9
"2021-01-13","paras",2
"2021-01-13","berry-club",5
"2021-01-14","berry-club",8
"2021-01-15","sputnik-dao",1
"2021-01-15","paras",4
"2021-01-16","paras",4
"2021-01-16","berry-club",2
"2021-01-16","sputnik-dao",6
"2021-01-17","paras",4
"2021-01-17","berry-club",9
"2021-01-17","sputnik-dao",2
"2021-01-18","paras",6
"2021-01-18","berry-club",4
"2021-01-18","sputnik-dao",1
"2021-01-19","paras",7
"2021-01-19","berry-club",6
"2021-01-19","sputnik-dao",1
"2021-01-20","paras",9
"2021-01-20","berry-club",6
"2021-01-21","paras",7
"2021-01-21","berry-club",5
"2021-01-22","paras",9
"2021-01-22","berry-club",5
"2021-01-22","sputnik-dao",1
"2021-01-23","paras",7
"2021-01-23","berry-club",1
"2021-01-23","sputnik-dao",3
"2021-01-24","paras",10
"2021-01-24","berry-club",1
"2021-01-24","sputnik-dao",3
"2021-01-25","sputnik-dao",3
"2021-01-25","paras",7
"2021-01-26","paras",8
"2021-01-26","berry-club",3
"2021-01-26","sputnik-dao",1
"2021-01-27","sputnik-dao",1
"2021-01-27","paras",6
"2021-01-28","paras",2
"2021-01-28","berry-club",3
"2021-01-28","sputnik-dao",2
"2021-01-29","paras",5
"2021-01-29","berry-club",3
"2021-01-29","sputnik-dao",2
"2021-01-30","paras",4
"2021-01-30","berry-club",1
"2021-01-31","paras",3
"2021-01-31","berry-club",2
"2021-02-01","paras",20
"2021-02-01","berry-club",3
"2021-02-01","sputnik-dao",2
"2021-02-02","paras",7
"2021-02-02","berry-club",1
"2021-02-02","sputnik-dao",1
"2021-02-03","paras",8
"2021-02-03","berry-club",4
"2021-02-04","paras",5
"2021-02-04","berry-club",3
"2021-02-04","sputnik-dao",2
"2021-02-05","paras",18
"2021-02-05","berry-club",4
"2021-02-05","sputnik-dao",5
"2021-02-06","paras",21
"2021-02-06","berry-club",2
"2021-02-06","sputnik-dao",1
"2021-02-07","paras",28
"2021-02-07","berry-club",4
"2021-02-07","sputnik-dao",19
"2021-02-08","paras",27
"2021-02-08","berry-club",2
"2021-02-08","sputnik-dao",14
"2021-02-09","paras",13
"2021-02-09","berry-club",4
"2021-02-09","sputnik-dao",10
"2021-02-10","paras",20
"2021-02-10","berry-club",2
"2021-02-10","sputnik-dao",15
"2021-02-11","paras",17
"2021-02-11","berry-club",4
"2021-02-11","sputnik-dao",17
"2021-02-12","paras",16
"2021-02-12","berry-club",10
"2021-02-12","sputnik-dao",17
"2021-02-13","paras",26
"2021-02-13","berry-club",16
"2021-02-13","sputnik-dao",12
"2021-02-14","paras",11
"2021-02-14","berry-club",4
"2021-02-14","sputnik-dao",8
"2021-02-15","paras",19
"2021-02-15","berry-club",5
"2021-02-15","sputnik-dao",7
"2021-02-16","paras",22
"2021-02-16","berry-club",5
"2021-02-16","sputnik-dao",7
"2021-02-17","paras",15
"2021-02-17","berry-club",2
"2021-02-17","sputnik-dao",11
"2021-02-18","paras",22
"2021-02-18","berry-club",4
"2021-02-18","sputnik-dao",24
"2021-02-19","paras",16
"2021-02-19","berry-club",13
"2021-02-19","sputnik-dao",3
"2021-02-20","paras",11
"2021-02-20","berry-club",7
"2021-02-20","sputnik-dao",1
"2021-02-21","paras",13
"2021-02-21","berry-club",4
"2021-02-21","sputnik-dao",5
"2021-02-22","paras",7
"2021-02-22","berry-club",9
"2021-02-22","sputnik-dao",41
"2021-02-23","paras",8
"2021-02-23","berry-club",5
"2021-02-23","sputnik-dao",5
"2021-02-24","paras",6
"2021-02-24","berry-club",1
"2021-02-24","sputnik-dao",11
"2021-02-25","paras",8
"2021-02-25","berry-club",3
"2021-02-25","sputnik-dao",1
"2021-02-26","paras",8
"2021-02-26","berry-club",3
"2021-02-26","sputnik-dao",1
"2021-02-27","paras",8
"2021-02-27","berry-club",11
"2021-02-27","sputnik-dao",2
"2021-02-28","paras",12
"2021-02-28","berry-club",25
"2021-02-28","sputnik-dao",4
"2021-03-01","paras",15
"2021-03-01","berry-club",24
"2021-03-01","sputnik-dao",1
"2021-03-02","paras",10
"2021-03-02","berry-club",13
"2021-03-02","sputnik-dao",2
"2021-03-02","berry-cards",76
"2021-03-03","paras",21
"2021-03-03","berry-club",15
"2021-03-03","sputnik-dao",4
"2021-03-03","berry-cards",62
"2021-03-04","paras",32
"2021-03-04","berry-club",28
"2021-03-04","sputnik-dao",6
"2021-03-04","berry-cards",25
"2021-03-05","paras",16
"2021-03-05","berry-club",18
"2021-03-05","sputnik-dao",5
"2021-03-05","berry-cards",17
"2021-03-06","paras",10
"2021-03-06","learn-near-club",1
"2021-03-06","berry-club",13
"2021-03-06","sputnik-dao",1
"2021-03-06","berry-cards",17
"2021-03-07","learn-near-club",2
"2021-03-07","paras",16
"2021-03-07","berry-club",14
"2021-03-07","sputnik-dao",1
"2021-03-07","berry-cards",11
"2021-03-08","paras",23
"2021-03-08","berry-club",7
"2021-03-08","sputnik-dao",1
"2021-03-08","berry-cards",7
"2021-03-09","paras",25
"2021-03-09","learn-near-club",3
"2021-03-09","berry-club",12
"2021-03-09","sputnik-dao",1
"2021-03-09","berry-cards",8
"2021-03-10","learn-near-club",2
"2021-03-10","paras",28
"2021-03-10","berry-club",26
"2021-03-10","sputnik-dao",4
"2021-03-10","berry-cards",18
