collected_for_day,app,new_accounts_count
2020-11-07,berry-club,75
2020-11-08,berry-club,25
2020-11-09,berry-club,52
2020-11-10,berry-club,108
2020-11-11,berry-club,20
2020-11-12,berry-club,16
2020-11-13,berry-club,5
2020-11-14,berry-club,13
2020-11-15,berry-club,8
2020-11-16,berry-club,12
2020-11-17,berry-club,8
2020-11-18,berry-club,3
2020-11-19,berry-club,1
2020-11-20,berry-club,2
2020-11-21,berry-club,32
2020-11-22,berry-club,17
2020-11-23,berry-club,5
2020-11-24,berry-club,3
2020-11-25,berry-club,6
2020-11-26,berry-club,9
2020-11-27,berry-club,7
2020-11-28,berry-club,21
2020-11-29,berry-club,6
2020-11-30,berry-club,14
2020-12-01,berry-club,8
2020-12-02,berry-club,10
2020-12-03,berry-club,4
2020-12-04,berry-club,3
2020-12-05,berry-club,10
2020-12-06,berry-club,5
2020-12-07,berry-club,5
2020-12-08,berry-club,8
2020-12-09,berry-club,10
2020-12-10,berry-club,2
2020-12-11,berry-club,2
2020-12-12,berry-club,7
2020-12-13,berry-club,6
2020-12-14,berry-club,4
2020-12-15,berry-club,3
2020-12-16,berry-club,3
2020-12-18,berry-club,4
2020-12-19,berry-club,6
2020-12-20,berry-club,1
2020-12-21,berry-club,4
2020-12-22,berry-club,7
2020-12-23,berry-club,6
2020-12-24,berry-club,8
2020-12-25,berry-club,1
2020-12-26,berry-club,25
2020-12-27,berry-club,6
2020-12-28,berry-club,6
2020-12-29,berry-club,2
2020-12-30,berry-club,4
2020-12-31,berry-club,22
2021-01-01,berry-club,2
2021-01-02,berry-club,4
2021-01-03,berry-club,3
2021-01-04,berry-club,2
2021-01-05,berry-club,4
2021-01-06,berry-club,4
2021-01-07,berry-club,3
2021-01-08,berry-club,9
2021-01-09,berry-club,4
2021-01-10,berry-club,13
2021-01-11,berry-club,4
2021-01-12,berry-club,9
2021-01-13,berry-club,5
2021-01-14,berry-club,8
2021-01-16,berry-club,2
2021-01-17,berry-club,9
2021-01-18,berry-club,4
2021-01-19,berry-club,6
2021-01-20,berry-club,6
2021-01-21,berry-club,5
2021-01-22,berry-club,5
2021-01-23,berry-club,1
2021-01-24,berry-club,1
2021-01-26,berry-club,3
2021-01-28,berry-club,3
2021-01-29,berry-club,3
2021-01-30,berry-club,1
2021-01-31,berry-club,2
2021-02-01,berry-club,3
2021-02-02,berry-club,1
2021-02-03,berry-club,4
2021-02-04,berry-club,3
2021-02-05,berry-club,4
2021-02-06,berry-club,2
2021-02-07,berry-club,4
2021-02-08,berry-club,2
2021-02-09,berry-club,4
2021-02-10,berry-club,2
2021-02-11,berry-club,4
2021-02-12,berry-club,10
2021-02-13,berry-club,16
2021-02-14,berry-club,4
2021-02-15,berry-club,5
2021-02-16,berry-club,5
2021-02-17,berry-club,2
2021-02-18,berry-club,4
2021-02-19,berry-club,13
2021-02-20,berry-club,7
2021-02-21,berry-club,4
2021-02-22,berry-club,9
2021-02-23,berry-club,5
2021-02-24,berry-club,1
2021-02-25,berry-club,3
2021-02-26,berry-club,3
2021-02-27,berry-club,11
2021-02-28,berry-club,25
2021-03-01,berry-club,24
2021-03-02,berry-club,13
2021-03-02,berry-cards,76
2021-03-03,berry-club,15
2021-03-03,berry-cards,62
2021-03-04,berry-cards,25
2021-03-04,berry-club,28
2021-03-05,berry-club,18
2021-03-05,berry-cards,17
2021-03-06,berry-club,13
2021-03-06,berry-cards,17
2021-03-07,berry-club,14
2021-03-07,berry-cards,11
2021-03-08,berry-club,7
2021-03-08,berry-cards,7
2021-03-09,berry-cards,8
2021-03-09,berry-club,12
2021-03-10,berry-club,26
2021-03-10,berry-cards,18
2021-03-11,berry-club,20
2021-03-11,berry-cards,8
2021-03-12,berry-club,17
2021-03-12,berry-cards,16
2021-03-13,berry-cards,8
2021-03-13,berry-club,8
2021-03-14,berry-cards,5
2021-03-14,berry-club,15
2021-03-15,berry-cards,5
2021-03-15,berry-club,8
2021-03-16,berry-cards,2
2021-03-16,berry-club,10
2021-03-17,berry-cards,6
2021-03-17,berry-club,12
2021-03-18,berry-club,19
2021-03-18,berry-cards,11
2021-03-18,near-crowd,1
2021-03-19,berry-club,18
2021-03-19,berry-cards,1
2021-03-20,berry-club,9
2021-03-20,berry-cards,3
2021-03-20,near-bet,16
2021-03-21,near-bet,21
2021-03-21,berry-cards,4
2021-03-21,pixel-party,5
2021-03-21,berry-club,11
2021-03-22,berry-cards,3
2021-03-22,near-bet,6
2021-03-22,berry-club,20
2021-03-22,pixel-party,80
2021-03-23,near-bet,7
2021-03-23,pixel-party,26
2021-03-23,berry-club,14
2021-03-23,berry-cards,2
2021-03-24,pixel-party,14
2021-03-24,berry-club,8
2021-03-24,berry-cards,4
2021-03-24,near-bet,26
2021-03-25,berry-cards,8
2021-03-25,near-bet,6
2021-03-25,pixel-party,13
2021-03-25,berry-club,11
2021-03-26,berry-cards,4
2021-03-26,berry-club,6
2021-03-26,pixel-party,7
2021-03-26,near-bet,13
2021-03-27,near-bet,4
2021-03-27,berry-cards,3
2021-03-27,berry-club,7
2021-03-27,pixel-party,3
2021-03-28,berry-cards,6
2021-03-28,pixel-party,3
2021-03-28,berry-club,10
2021-03-28,near-bet,6
2021-03-29,near-bet,4
2021-03-29,berry-cards,6
2021-03-29,berry-club,9
2021-03-29,pixel-party,5
2021-03-30,berry-cards,4
2021-03-30,berry-club,6
2021-03-30,near-bet,5
2021-03-30,ref-finance,1
2021-03-30,pixel-party,4
2021-03-31,berry-cards,5
2021-03-31,berry-club,5
2021-03-31,near-bet,5
2021-03-31,pixel-party,4
2021-04-01,pixel-party,3
2021-04-01,near-bet,1
2021-04-01,berry-club,6
2021-04-01,berry-cards,1
2021-04-01,near-crowd,1
2021-04-02,pixel-party,11
2021-04-02,near-bet,5
2021-04-02,berry-cards,4
2021-04-02,berry-club,7
2021-04-03,berry-club,5
2021-04-03,pixel-party,7
2021-04-03,near-bet,6
2021-04-04,berry-club,3
2021-04-04,near-bet,2
2021-04-04,pixel-party,5
2021-04-04,berry-cards,1
2021-04-05,near-bet,2
2021-04-05,berry-club,3
2021-04-05,berry-cards,3
2021-04-05,pixel-party,3
2021-04-06,berry-club,41
2021-04-06,berry-cards,7
2021-04-06,pixel-party,3
2021-04-06,near-bet,8
2021-04-07,berry-club,53
2021-04-07,near-bet,13
2021-04-07,berry-cards,28
2021-04-07,pixel-party,7
2021-04-08,berry-cards,10
2021-04-08,berry-club,20
2021-04-08,near-bet,10
2021-04-08,pixel-party,6
2021-04-09,near-bet,9
2021-04-09,berry-cards,17
2021-04-09,berry-club,27
2021-04-09,pixel-party,12
2021-04-10,berry-club,68
2021-04-10,pixel-party,4
2021-04-10,berry-cards,31
2021-04-10,near-bet,5
2021-04-11,berry-club,41
2021-04-11,near-bet,10
2021-04-11,pixel-party,10
2021-04-11,berry-cards,5
2021-04-12,berry-club,136
2021-04-12,near-bet,8
2021-04-12,berry-cards,25
2021-04-12,pixel-party,28
2021-04-13,berry-club,53
2021-04-13,pixel-party,14
2021-04-13,berry-cards,14
2021-04-13,near-bet,8
2021-04-14,near-crowd,15
2021-04-14,berry-cards,30
2021-04-14,near-bet,8
2021-04-14,pixel-party,15
2021-04-14,galaxy-online,1
2021-04-14,berry-club,170
2021-04-15,berry-club,101
2021-04-15,near-crowd,47
2021-04-15,near-bet,10
2021-04-15,berry-cards,10
2021-04-15,pixel-party,14
2021-04-15,galaxy-online,6
2021-04-16,berry-cards,17
2021-04-16,berry-club,91
2021-04-16,galaxy-online,2
2021-04-16,pixel-party,4
2021-04-16,near-crowd,81
2021-04-16,near-bet,4
2021-04-17,berry-club,112
2021-04-17,near-bet,5
2021-04-17,pixel-party,8
2021-04-17,berry-cards,14
2021-04-17,near-crowd,21
2021-04-17,galaxy-online,1
2021-04-18,berry-cards,3
2021-04-18,near-crowd,21
2021-04-18,near-bet,1
2021-04-18,berry-club,22
2021-04-18,pixel-party,6
2021-04-18,galaxy-online,2
2021-04-19,pixel-party,3
2021-04-19,near-bet,10
2021-04-19,galaxy-online,6
2021-04-19,berry-club,32
2021-04-19,berry-cards,14
2021-04-19,near-crowd,37
2021-04-20,berry-club,53
2021-04-20,near-bet,3
2021-04-20,berry-cards,3
2021-04-20,near-crowd,52
2021-04-20,galaxy-online,1
2021-04-21,near-crowd,114
2021-04-21,near-bet,6
2021-04-21,galaxy-online,4
2021-04-21,berry-cards,4
2021-04-21,pixel-party,4
2021-04-21,berry-club,102
2021-04-22,near-bet,7
2021-04-22,berry-club,42
2021-04-22,near-crowd,40
2021-04-22,berry-cards,1
2021-04-22,galaxy-online,3
2021-04-22,pixel-party,4
2021-04-23,pixel-party,3
2021-04-23,berry-club,21
2021-04-23,near-crowd,26
2021-04-23,galaxy-online,3
2021-04-23,near-bet,6
2021-04-23,berry-cards,3
2021-04-24,pixel-party,4
2021-04-24,galaxy-online,1
2021-04-24,berry-club,15
2021-04-24,near-bet,3
2021-04-24,near-crowd,16
2021-04-24,berry-cards,2
2021-04-25,galaxy-online,3
2021-04-25,pixel-party,3
2021-04-25,near-crowd,12
2021-04-25,berry-club,21
2021-04-25,berry-cards,1
2021-04-25,near-bet,1
2021-04-26,pixel-party,3
2021-04-26,near-crowd,18
2021-04-26,berry-club,53
2021-04-26,berry-cards,7
2021-04-26,galaxy-online,5
2021-04-26,near-bet,6
2021-04-27,pixel-party,7
2021-04-27,near-crowd,26
2021-04-27,berry-club,73
2021-04-27,berry-cards,4
2021-04-27,galaxy-online,2
2021-04-27,near-bet,10
2021-04-28,pixel-party,8
2021-04-28,near-crowd,27
2021-04-28,near-bet,7
